title,label,label_name,topic,word_count,age_days,n_classifiable_sentences,f5_original_reproduced,f5_original_biased_mean,f5_original_neutral_mean,f5_revised,f5_revised_biased_mean,f5_revised_neutral_mean,f5_revised_margin_mean
Drahtgewebe (Filtration),1,stable,science,2028,3238,37,1.0,0.9462,0.0538,0.8919,0.8303,0.1697,0.6607
Partidul Social Democrat European,0,contested,politics_history,4067,6142,135,1.0,0.9017,0.0983,0.8,0.8024,0.1976,0.6047
Philokartie,1,stable,politics_history,3825,6138,114,1.0,0.9362,0.0638,0.9474,0.8634,0.1366,0.7267
Atari Teenage Riot,0,contested,culture,2984,8129,89,0.9888,0.9287,0.0713,0.9326,0.8614,0.1386,0.7227
Cindy Sherman,1,stable,culture,2813,7866,67,0.9851,0.9186,0.0814,0.9552,0.8654,0.1346,0.7307
Schlacht im Ia-Drang-Tal,0,contested,politics_history,3374,6973,175,0.9886,0.9421,0.0579,0.9829,0.8521,0.1479,0.7043
Chinesische Volksbank,1,stable,politics_history,3333,7069,86,0.9767,0.9108,0.0892,0.9302,0.8549,0.1451,0.7097
Hamburg Commercial Bank,0,contested,politics_history,3724,6985,112,1.0,0.931,0.069,0.9732,0.8568,0.1432,0.7137
Korsika im Altertum,1,stable,politics_history,3764,7221,134,0.9851,0.9278,0.0722,0.9403,0.8309,0.1691,0.6617
Helmtherapie,0,contested,science,1606,6387,68,1.0,0.9254,0.0746,0.8824,0.8257,0.1743,0.6515
Acherontia lachesis,1,stable,science,1644,6076,19,1.0,0.9523,0.0477,0.8421,0.8035,0.1965,0.607
EU-Erweiterung 2004,0,contested,politics_history,4246,7872,154,0.987,0.919,0.081,0.9221,0.8317,0.1683,0.6634
Handelsgeschäft,1,stable,politics_history,4337,7610,186,0.9839,0.8948,0.1052,0.8548,0.8077,0.1923,0.6154
Neokatechumenaler Weg,0,contested,culture,7067,6403,162,0.9815,0.9194,0.0806,0.8395,0.8076,0.1924,0.6152
Günther Anders,1,stable,culture,7414,6370,172,0.9826,0.9197,0.0803,0.7384,0.7831,0.2169,0.5661
Chartered Institute for Archaeologists,0,contested,politics_history,1970,3148,72,0.9722,0.8955,0.1045,0.7917,0.7926,0.2074,0.5853
Philadelphia and Reading Railroad Bridge (Susquehanna River),1,stable,politics_history,2046,3086,35,1.0,0.9507,0.0493,0.9714,0.8583,0.1417,0.7166
Neue Kadampa-Tradition,0,contested,culture,3187,7518,104,0.9904,0.9191,0.0809,0.875,0.8282,0.1718,0.6564
Weinbau in Kanada,1,stable,culture,3142,7629,112,1.0,0.9497,0.0503,0.9732,0.839,0.161,0.678
Timotheus Höttges,0,contested,politics_history,2234,7025,61,0.9836,0.926,0.074,0.9672,0.8648,0.1352,0.7296
Josephus Daniels (Schiff),1,stable,politics_history,2320,7039,94,1.0,0.9519,0.0481,0.9894,0.8548,0.1452,0.7096
Luftlager,0,contested,science,2434,8123,98,0.9796,0.929,0.071,0.9082,0.8232,0.1768,0.6465
Löffelhund,1,stable,science,2356,8189,64,1.0,0.9484,0.0516,0.9375,0.8292,0.1708,0.6584
Die Zeitgeist-Bewegung,0,contested,science,2269,5621,65,0.9692,0.8744,0.1256,0.7231,0.7645,0.2355,0.5289
Basfia succiniciproducens,1,stable,science,2217,6089,34,1.0,0.9273,0.0727,0.9118,0.8271,0.1729,0.6542
Tempolimit,0,contested,science,2813,5057,75,1.0,0.9353,0.0647,0.8533,0.8126,0.1874,0.6252
Lift-off-Verfahren,1,stable,science,2762,5734,86,1.0,0.9306,0.0694,0.7791,0.7937,0.2063,0.5873
Iqos,0,contested,politics_history,3138,2747,72,1.0,0.9188,0.0812,0.875,0.841,0.159,0.6819
ASB Bridge,1,stable,politics_history,2819,2840,59,1.0,0.9463,0.0537,1.0,0.8516,0.1484,0.7032
Sklavenhandel,0,contested,politics_history,6686,4921,200,1.0,0.9488,0.0512,0.915,0.8329,0.1671,0.6657
Panzerhaubitze 2000,1,stable,politics_history,7112,4790,258,1.0,0.9492,0.0508,0.969,0.8534,0.1466,0.7068
The Third Wave,0,contested,science,1904,6635,36,1.0,0.9128,0.0872,0.8611,0.8264,0.1736,0.6528
Regenbaum,1,stable,science,2149,6650,54,1.0,0.9378,0.0622,0.8704,0.8023,0.1977,0.6046
Verelendungstheorie,0,contested,politics_history,2803,6150,69,0.9855,0.9153,0.0847,0.8116,0.797,0.203,0.5941
Big-Mac-Index,1,stable,politics_history,3101,6577,48,0.9792,0.9281,0.0719,0.8542,0.827,0.173,0.654
Jüngere Dryaszeit,0,contested,science,4041,7523,70,1.0,0.944,0.056,0.8857,0.8143,0.1857,0.6286
Keilzinkung,1,stable,science,4160,7317,4,1.0,0.9406,0.0594,1.0,0.7931,0.2069,0.5861
Gestalttherapie,0,contested,science,5807,6863,202,0.9703,0.8818,0.1182,0.797,0.7846,0.2154,0.5692
Katalyse,1,stable,science,5736,7129,201,0.995,0.9341,0.0659,0.8706,0.8207,0.1793,0.6414
Küchenabfallzerkleinerer,0,contested,science,2890,7233,73,1.0,0.9443,0.0557,0.9178,0.8487,0.1513,0.6974
Kauffmann-White-Schema,1,stable,science,2713,7240,79,1.0,0.9316,0.0684,0.7848,0.7958,0.2042,0.5916
Kurort,0,contested,science,1685,8317,46,1.0,0.9401,0.0599,0.8696,0.8299,0.1701,0.6598
Schäbe,1,stable,science,1623,8149,5,1.0,0.8833,0.1167,0.8,0.8283,0.1717,0.6566
Substanzinduzierte Psychose,0,contested,science,4000,7285,63,1.0,0.9299,0.0701,0.8571,0.8391,0.1609,0.6783
Wechselwirkende Galaxien,1,stable,science,3738,7268,196,1.0,0.9625,0.0375,0.9541,0.8544,0.1456,0.7087
Das sogenannte Böse,0,contested,science,4425,8199,162,0.9938,0.9127,0.0873,0.679,0.7519,0.2481,0.5039
Gänsegeier,1,stable,science,4135,8216,130,0.9692,0.9362,0.0638,0.9077,0.8288,0.1712,0.6576
Pharmahersteller,0,contested,science,5099,6198,97,1.0,0.9228,0.0772,0.9381,0.8519,0.1481,0.7037
(136199) Eris,1,stable,science,5115,6412,23,1.0,0.9546,0.0454,0.913,0.8487,0.1513,0.6974
PANalytical,0,contested,science,1964,6618,83,1.0,0.9445,0.0555,0.9157,0.8376,0.1624,0.6752
Waldsteppenotter,1,stable,science,2168,6660,56,1.0,0.9567,0.0433,0.9464,0.8288,0.1712,0.6575
T-Labs,0,contested,science,1563,7299,31,1.0,0.9318,0.0682,1.0,0.8814,0.1186,0.7628
Lilium pardalinum subsp. pitkinense,1,stable,science,1511,6986,41,1.0,0.9393,0.0607,0.8293,0.801,0.199,0.6019
Ungarische Notation,0,contested,science,3275,8097,134,0.9776,0.8935,0.1065,0.2537,0.6488,0.3512,0.2975
Ankylosauria,1,stable,science,3322,7859,79,0.9873,0.9394,0.0606,0.9114,0.8269,0.1731,0.6537
Prophylaxe (Zahnmedizin),0,contested,science,4188,7368,172,0.9942,0.9297,0.0703,0.8547,0.8138,0.1862,0.6277
Crashtest-Dummy,1,stable,science,4430,7688,153,1.0,0.9289,0.0711,0.8693,0.8369,0.1631,0.6737
Alexander-Technik,0,contested,science,2036,8192,56,0.9821,0.9098,0.0902,0.8929,0.8186,0.1814,0.6372
Ringelröteln,1,stable,science,1818,8101,67,0.9851,0.9348,0.0652,0.9254,0.8411,0.1589,0.6823
Neoarchaikum,0,contested,science,3302,7638,72,1.0,0.9529,0.0471,0.9306,0.842,0.158,0.6841
Schlangenadler,1,stable,science,3358,7734,133,1.0,0.9551,0.0449,0.9474,0.8276,0.1724,0.6551
